"HEXuid_HEXidu","SumPop_2016_SommePop","SumURD_2016_SommeRH","SumTD_2016_SommeTL","Avail_5_1_75PctPlus_Dispo","Avail_50_10_Gradient_Dispo"
"AB49001103","<5","<5","<5","F","0"
"AB49001110","<5","<5","<5","F","0"
"AB49001112","<5","<5","<5","T",">75% -  100%"
"AB49001114","<5","<5","<5","T",">75% -  100%"
"AB49001115","<5","<5","<5","T",">75% -  100%"
"AB49001116","<5","<5","<5","T",">75% -  100%"
"AB49001117","5-25","<5","<5","T",">75% -  100%"
"AB49001118","<5","<5","<5","T",">75% -  100%"
"AB49001120","101-250","101-250","101-250","T",">50% - 75%"
"AB49001121","-","<5","<5","T",">0% - 25%"
"AB49001122","<5","<5","<5","F","0"
"AB49001123","NA","NA","NA","F","0"
"AB49001124","NA","NA","NA","F","0"
"AB49001126","<5","<5","<5","F","0"
"AB49001127","<5","<5","<5","F","0"
"AB49001128","<5","<5","<5","T","0"
"AB49001129","<5","<5","<5","T","0"
"AB49001130","<5","<5","<5","T","0"
"AB49001132","<5","<5","<5","T","0"
"AB49001134","<5","<5","<5","T","0"
"AB49001135","<5","<5","<5","T","0"
"AB49001136","<5","<5","<5","F","0"
"AB49021102","<5","<5","<5","F","0"
"AB49021109","<5","<5","<5","F","0"
"AB49021111","<5","<5","<5","F","0"
"AB49021112","<5","<5","<5","T",">75% -  100%"
"AB49021113","<5","<5","<5","T",">75% -  100%"
"AB49021114","5-25","<5","<5","T",">75% -  100%"
"AB49021115","<5","<5","<5","T",">75% -  100%"
"AB49021117","5-25","<5","<5","T",">75% -  100%"
"AB49021118","5-25","<5","<5","T",">75% -  100%"
"AB49021119","5-25","<5","<5","T",">75% -  100%"
"AB49021120","<5","<5","<5","T",">75% -  100%"
"AB49021121","<5","<5","<5","T",">25% - 50%"
"AB49021123","<5","<5","<5","F","0"
"AB49021125","NA","NA","NA","F","0"
"AB49021126","5-25","<5","<5","F","0"
"AB49021127","5-25","<5","<5","T","0"
"AB49021129","5-25","<5","<5","T","0"
"AB49021130","5-25","<5","<5","T","0"
"AB49021131","5-25","<5","5-25","T","0"
"AB49021132","5-25","<5","<5","T","0"
"AB49021133","5-25","5-25","5-25","T","0"
"AB49021135","5-25","5-25","5-25","T","0"
"AB49021136","NA","NA","NA","F","0"
"AB49021137","<5","<5","<5","T","0"
"AB49021138","NA","NA","NA","F","0"
"AB49021141","<5","<5","<5","F","0"
"AB49051103","<5","<5","<5","F","0"
"AB49051104","<5","<5","<5","F","0"
"AB49051109","<5","<5","<5","F","0"
"AB49051110","<5","<5","<5","F","0"
"AB49051111","<5","<5","<5","T",">75% -  100%"
"AB49051112","5-25","<5","<5","T",">75% -  100%"
"AB49051114","<5","<5","<5","T",">75% -  100%"
"AB49051115","<5","<5","<5","T",">75% -  100%"
"AB49051116","<5","<5","<5","T",">75% -  100%"
"AB49051117","5-25","<5","<5","T",">75% -  100%"
"AB49051118","26-50","5-25","5-25","T",">75% -  100%"
"AB49051120","5-25","<5","5-25","T",">75% -  100%"
"AB49051121","<5","<5","<5","T",">75% -  100%"
"AB49051122","<5","<5","<5","F",">0% - 25%"
"AB49051123","NA","NA","NA","F","0"
"AB49051126","5-25","<5","<5","F","0"
"AB49051127","5-25","<5","<5","F","0"
"AB49051128","5-25","5-25","5-25","T","0"
"AB49051129","5-25","<5","5-25","T","0"
"AB49051130","5-25","5-25","5-25","T",">0% - 25%"
"AB49051132","5-25","5-25","5-25","T","0"
"AB49051133","5-25","<5","<5","T","0"
"AB49051134","<5","<5","<5","T","0"
"AB49051135","5-25","<5","5-25","T","0"
"AB49051136","NA","NA","NA","F","0"
"AB49051138","<5","<5","<5","T","0"
"AB49051139","51-100","26-50","101-250","T",">0% - 25%"
"AB49051140","<5","<5","5-25","F","0"
"AB49071102","<5","<5","<5","F","0"
"AB49071103","<5","<5","<5","F","0"
"AB49071105","<5","<5","<5","F","0"
"AB49071108","<5","<5","<5","F","0"
"AB49071109","<5","<5","<5","F","0"
"AB49071111","<5","<5","<5","F","0"
"AB49071113","<5","<5","<5","T",">75% -  100%"
"AB49071114","<5","<5","<5","T",">75% -  100%"
"AB49071115","<5","<5","<5","T",">75% -  100%"
"AB49071117","<5","<5","<5","T",">75% -  100%"
"AB49071118","26-50","<5","<5","T",">75% -  100%"
"AB49071119","5-25","<5","<5","T",">50% - 75%"
"AB49071120","5-25","5-25","5-25","T",">75% -  100%"
"AB49071121","5-25","<5","<5","T",">50% - 75%"
"AB49071123","<5","<5","<5","T","0"
"AB49071124","<5","<5","<5","F","0"
"AB49071125","5-25","<5","<5","F","0"
"AB49071126","5-25","<5","<5","F","0"
"AB49071127","5-25","<5","<5","T","0"
"AB49071129","5-25","<5","<5","T","0"
"AB49071130","5-25","<5","<5","T",">0% - 25%"
"AB49071131","5-25","5-25","5-25","T","0"
"AB49071132","26-50","5-25","5-25","T","0"
"AB49071133","5-25","<5","5-25","T","0"
"AB49071135","26-50","5-25","5-25","T","0"
"AB49071136","<5","<5","<5","T","0"
"AB49071137","5-25","<5","5-25","T","0"
"AB49071138","<5","<5","<5","T","0"
"AB49071139","<5","<5","5-25","F","0"
"AB49101102","<5","<5","<5","F","0"
"AB49101103","-","<5","<5","F","0"
"AB49101104","<5","<5","<5","F","0"
"AB49101105","<5","<5","<5","F","0"
"AB49101106","<5","<5","<5","F","0"
"AB49101108","<5","<5","<5","F","0"
"AB49101112","<5","<5","<5","T",">75% -  100%"
"AB49101114","<5","<5","<5","T",">75% -  100%"
"AB49101115","<5","<5","<5","T",">75% -  100%"
"AB49101116","5-25","<5","<5","T",">75% -  100%"
"AB49101117","5-25","<5","<5","T",">75% -  100%"
"AB49101118","26-50","<5","<5","T",">75% -  100%"
"AB49101120","5-25","<5","<5","T",">25% - 50%"
"AB49101121","5-25","5-25","5-25","T",">75% -  100%"
"AB49101122","5-25","<5","<5","T",">0% - 25%"
"AB49101123","<5","<5","<5","T","0"
"AB49101124","5-25","<5","<5","T","0"
"AB49101126","<5","<5","<5","F","0"
"AB49101127","5-25","<5","<5","T","0"
"AB49101128","<5","<5","<5","T","0"
"AB49101129","5-25","<5","<5","T","0"
"AB49101130","5-25","<5","5-25","T",">50% - 75%"
"AB49101132","26-50","5-25","5-25","T","0"
"AB49101133","5-25","5-25","5-25","T","0"
"AB49101134","26-50","5-25","5-25","T","0"
"AB49101135","26-50","5-25","26-50","T","0"
"AB49101136","26-50","5-25","5-25","T","0"
"AB49101138","<5","<5","<5","T","0"
"AB49101139","NA","NA","NA","F","0"
"AB49121101","<5","<5","<5","F","0"
"AB49121105","<5","<5","<5","F","0"
"AB49121106","<5","<5","<5","F","0"
"AB49121107","<5","<5","<5","F","0"
"AB49121108","<5","<5","<5","F","0"
"AB49121109","<5","<5","<5","F","0"
"AB49121113","<5","<5","<5","T",">75% -  100%"
"AB49121115","5-25","<5","<5","T",">75% -  100%"
"AB49121117","<5","<5","<5","T",">75% -  100%"
"AB49121118","5-25","<5","<5","T",">75% -  100%"
"AB49121119","5-25","5-25","5-25","T",">75% -  100%"
"AB49121120","5-25","5-25","5-25","T",">75% -  100%"
"AB49121121","5-25","<5","<5","T",">75% -  100%"
"AB49121123","<5","<5","<5","T","0"
"AB49121125","<5","<5","<5","T","0"
"AB49121126","NA","NA","NA","F","0"
"AB49121127","5-25","<5","<5","T","0"
"AB49121129","26-50","<5","<5","T","0"
"AB49121130","<5","<5","<5","T","0"
"AB49121131","26-50","<5","<5","T","0"
"AB49121132","101-250","26-50","26-50","T",">0% - 25%"
"AB49121133","26-50","5-25","5-25","T",">0% - 25%"
"AB49121135","51-100","5-25","5-25","T","0"
"AB49121136","101-250","26-50","51-100","T","0"
"AB49121137","26-50","5-25","5-25","T","0"
"AB49121138","5-25","5-25","5-25","T","0"
"AB49121139","NA","NA","NA","F","0"
"AB49151102","NA","NA","NA","F","0"
"AB49151103","-","<5","<5","F","0"
"AB49151108","<5","<5","<5","F","0"
"AB49151109","<5","<5","<5","F","0"
"AB49151110","<5","<5","<5","F","0"
"AB49151111","<5","<5","<5","T","0"
"AB49151112","<5","<5","<5","T",">75% -  100%"
"AB49151114","<5","<5","<5","T",">75% -  100%"
"AB49151115","5-25","<5","<5","T",">75% -  100%"
"AB49151116","<5","<5","<5","T",">75% -  100%"
"AB49151117","5-25","<5","5-25","T",">75% -  100%"
"AB49151118","5-25","5-25","5-25","T",">75% -  100%"
"AB49151120","5-25","<5","5-25","T",">75% -  100%"
"AB49151121","501+","251-500","251-500","T",">75% -  100%"
"AB49151122","<5","<5","<5","T",">75% -  100%"
"AB49151123","NA","NA","NA","F","0"
"AB49151124","5-25","<5","<5","T","0"
"AB49151127","<5","<5","<5","T","0"
"AB49151128","51-100","<5","<5","T","0"
"AB49151130","5-25","<5","5-25","T","0"
"AB49151132","26-50","<5","<5","T","0"
"AB49151133","51-100","26-50","26-50","T","0"
"AB49151134","51-100","5-25","5-25","T",">75% -  100%"
"AB49151135","51-100","5-25","5-25","T","0"
"AB49151136","51-100","5-25","26-50","T","0"
"AB49151138","5-25","<5","5-25","T","0"
"AB49151139","<5","<5","<5","T","0"
"AB49171101","<5","<5","<5","F","0"
"AB49171105","NA","NA","NA","F","0"
"AB49171106","<5","<5","<5","F","0"
"AB49171109","<5","<5","<5","F","0"
"AB49171111","<5","<5","<5","T","0"
"AB49171112","<5","<5","<5","T",">75% -  100%"
"AB49171113","<5","<5","<5","T",">75% -  100%"
"AB49171114","<5","<5","<5","T",">50% - 75%"
"AB49171115","5-25","<5","<5","T",">75% -  100%"
"AB49171117","5-25","<5","<5","T",">75% -  100%"
"AB49171118","5-25","5-25","5-25","T",">75% -  100%"
"AB49171119","<5","<5","<5","T",">75% -  100%"
"AB49171120","<5","<5","<5","T",">75% -  100%"
"AB49171121","5-25","<5","5-25","T",">75% -  100%"
"AB49171123","<5","<5","<5","T",">50% - 75%"
"AB49171125","<5","<5","<5","F","0"
"AB49171127","<5","<5","<5","T","0"
"AB49171129","<5","<5","<5","T","0"
"AB49171130","NA","NA","NA","F","0"
"AB49171131","5-25","<5","<5","T","0"
"AB49171132","26-50","5-25","5-25","T","0"
"AB49171133","251-500","101-250","101-250","T",">50% - 75%"
"AB49171135","101-250","26-50","26-50","T",">75% -  100%"
"AB49171136","26-50","5-25","5-25","T","0"
"AB49171137","26-50","<5","<5","T","0"
"AB49171138","5-25","5-25","5-25","T","0"
"AB49201100","<5","<5","<5","F","0"
"AB49201102","<5","<5","<5","F","0"
"AB49201103","-","<5","<5","F","0"
"AB49201108","<5","<5","<5","F","0"
"AB49201109","<5","<5","<5","F","0"
"AB49201110","<5","<5","<5","F","0"
"AB49201111","<5","<5","<5","T",">50% - 75%"
"AB49201112","5-25","<5","<5","T",">75% -  100%"
"AB49201114","<5","<5","<5","T",">75% -  100%"
"AB49201115","5-25","<5","<5","T",">75% -  100%"
"AB49201116","<5","<5","<5","T",">75% -  100%"
"AB49201117","5-25","<5","<5","T",">75% -  100%"
"AB49201118","5-25","<5","<5","T",">75% -  100%"
"AB49201120","<5","<5","<5","T",">50% - 75%"
"AB49201121","5-25","<5","5-25","T",">75% -  100%"
"AB49201122","<5","<5","<5","T",">75% -  100%"
"AB49201126","<5","<5","<5","F","0"
"AB49201128","5-25","<5","<5","T","0"
"AB49201130","<5","<5","<5","T","0"
"AB49201132","26-50","5-25","5-25","T","0"
"AB49201133","501+","501+","501+","T",">75% -  100%"
"AB49201134","51-100","26-50","26-50","T",">75% -  100%"
"AB49201135","5-25","5-25","5-25","T","0"
"AB49201136","51-100","5-25","5-25","T","0"
"AB49201138","5-25","<5","<5","T","0"
"AB49201139","26-50","5-25","5-25","T","0"
"AB49231100","<5","<5","<5","F","0"
"AB49231101","<5","<5","<5","F","0"
"AB49231102","<5","<5","<5","F","0"
"AB49231103","-","<5","<5","F","0"
"AB49231106","<5","<5","<5","T","0"
"AB49231107","NA","NA","NA","F","0"
"AB49231108","<5","<5","<5","T","0"
"AB49231109","<5","<5","<5","F","0"
"AB49231111","<5","<5","<5","T","0"
"AB49231112","<5","<5","<5","T",">75% -  100%"
"AB49231113","51-100","<5","<5","T",">75% -  100%"
"AB49231114","5-25","<5","<5","T",">75% -  100%"
"AB49231115","<5","<5","<5","T",">25% - 50%"
"AB49231117","<5","<5","<5","T",">75% -  100%"
"AB49231118","<5","<5","<5","T",">75% -  100%"
"AB49231119","5-25","<5","<5","T",">25% - 50%"
"AB49231120","<5","<5","<5","T",">75% -  100%"
"AB49231121","5-25","5-25","5-25","T",">75% -  100%"
"AB49231123","5-25","<5","<5","T",">75% -  100%"
"AB49231124","5-25","<5","<5","T","0"
"AB49231125","5-25","<5","<5","F","0"
"AB49231127","<5","<5","<5","T","0"
"AB49231129","5-25","<5","<5","T","0"
"AB49231131","5-25","<5","<5","T","0"
"AB49231132","26-50","5-25","5-25","T","0"
"AB49231133","101-250","26-50","26-50","T",">0% - 25%"
"AB49231135","51-100","5-25","5-25","T",">0% - 25%"
"AB49231136","101-250","26-50","26-50","T","0"
"AB49231137","5-25","<5","<5","T","0"
"AB49231138","5-25","<5","5-25","T","0"
"AB49231139","5-25","<5","5-25","F","0"
"AB49251100","<5","<5","<5","F","0"
"AB49251103","<5","<5","<5","F","0"
"AB49251104","-","<5","<5","F","0"
"AB49251105","-","<5","<5","F","0"
"AB49251106","<5","<5","<5","T","0"
"AB49251108","<5","<5","<5","F","0"
"AB49251109","<5","<5","<5","T","0"
"AB49251110","<5","<5","<5","T","0"
"AB49251111","<5","<5","<5","T",">25% - 50%"
"AB49251112","<5","<5","<5","T",">75% -  100%"
"AB49251114","<5","<5","<5","T",">75% -  100%"
"AB49251115","<5","<5","<5","T",">0% - 25%"
"AB49251116","<5","<5","<5","T",">25% - 50%"
"AB49251117","-","-","<5","T",">75% -  100%"
"AB49251118","<5","<5","<5","T","0"
"AB49251120","5-25","<5","<5","T",">75% -  100%"
"AB49251121","5-25","<5","<5","T",">75% -  100%"
"AB49251122","5-25","5-25","5-25","T",">75% -  100%"
